QC,TI,Re_d,PGrad,TurbTime,PStress,UMisalign,ConvTKE,TauRatio,Curvature,SQUARED_DUCT_RSTRESS,PERIODIC_HILL_RSTRESS
-0.0453159,0.0210663,1.43229,-0.450436,0.641015,0.527834,0.0548877,-0.0431001,0.543847,0.0367957,-0.143122,-0.341561
-0.0336614,0.0208943,1.28623,-0.453675,0.655645,0.523433,0.0455483,-0.050879,0.544361,0.0373389,-0.13913,-0.361505
-0.0247292,0.0207994,1.15458,-0.45701,0.670408,0.521088,0.0372509,-0.0534134,0.54479,0.0377853,-0.132108,-0.382804
-0.0178906,0.0207904,1.0358,-0.46035,0.685765,0.522144,0.0298224,-0.051695,0.545108,0.0379983,-0.121503,-0.405079
-0.0126945,0.0208808,0.928506,-0.463797,0.702159,0.528407,0.0231804,-0.0467524,0.545291,0.0377901,-0.106855,-0.428148
-0.00881549,0.021089,0.83141,-0.467514,0.719765,0.542929,0.0173232,-0.0398281,0.545301,0.0368803,-0.088035,-0.452031
-0.00599747,0.0214378,0.743273,-0.471656,0.738446,0.570661,0.0123083,-0.0323184,0.545105,0.0349124,-0.06498,-0.476871
-0.00401838,0.0219494,0.662837,-0.476423,0.757708,0.620015,0.00819707,-0.0256332,0.544695,0.0314917,-0.038937,-0.502711
-0.00267555,0.0226345,0.588764,-0.481406,0.77683,0.705696,0.00500662,-0.021038,0.544105,0.0263355,-0.010128,-0.528971
-0.00178592,0.0234718,0.519636,-0.486184,0.795295,0.851155,0.00268985,-0.0190968,0.54341,0.0195775,0.019621,-0.55466
-0.0012009,0.024385,0.454042,-0.490045,0.812946,0.915747,0.00110229,-0.0197887,0.542673,0.0117056,0.049386,-0.579069
-0.000813726,0.0252198,0.390741,-0.493411,0.82989,0.736665,6.43E-05,-0.0227984,0.541905,0.00513824,0.077135,-0.602516
-0.000554603,0.0257304,0.328912,-0.495874,0.846174,0.626482,0.000583061,-0.0278082,0.541067,0.0105825,0.101065,-0.626454
-0.000380045,0.025599,0.268499,-0.497565,0.861372,0.560626,0.000960722,-0.0347838,0.54009,0.0208215,0.118888,-0.653425
